association,total,ready_to_insert,already_exists,blocked_missing_fixture,blocked_missing_profile,blocked_missing_team,skipped_not_attended,skipped_removed
Hockey Ballarat,6522,2002,0,0,0,0,4520,0
Sunraysia Hockey Association,2623,1666,0,0,0,0,957,0
